product_code;stock
2000168110021;1
2000168150010;5
2000168180017;5
2000168200012;4
2000168210028;2
2000174590015;5
2000174600011;10
2000174610010;14
2000174620019;4
2000174630018;1
2000174640017;4
2000174650016;19
2000174660015;5
2000174670014;15
2000174680013;2
2000174690012;4
2000174700018;2
2000174710017;8
2000174720016;9
2000174730015;27
2000174740014;1
2000174760012;6
2000174770011;5
2000174780010;15
2000174800015;0
2000174820013;6
2000174830012;7
2000174840011;5
2000174850010;6
2000174860019;2
2000174880017;6
2000174890016;6
2000174900012;9
2000174920010;5
2000225110018;1
2000225150014;1
2000225160013;1
2000225170012;2
2000225180011;2
2000240840013;5
2000470390012;0
2000470400018;0
2000470420016;0
2000470430015;0
2000470440014;0
2000478140015;5
2001459803516;1
2001459803608;1
2001459803653;0
2001459803660;2
2001459803677;1
2001459803684;0
2001459803691;0
2001459803769;2
2001459803813;2
2001459803820;0
2001459821213;2
2001459824795;0
2001459824801;0
2001459824818;0
2001459824825;0
2001459824832;0
2001459824849;7
2001459824856;21
2001459824870;14
2001459824894;39
2001459824900;37
2001459824917;46
2001459824924;20
2001459824931;19
2001459824948;5
2001459824955;40
2001459827727;0
2001459827741;1
2001459827758;3
2001459827765;1
2001459831519;1
2001459831526;3
2001459831533;7
2001459831540;1
2001459831557;0
2001459831564;0
2001459831571;0
2001459831588;6
2001459831595;4
2001459831601;3
2001459831618;0
2001459831625;4
2001459831632;1
2001459831649;0
2001459831656;1
2001459831663;0
2001459831670;0
2001459831687;0
2001459834572;2
2001459834589;8
2001459834596;9
2001459834602;1
2001459834619;0
2001459834626;0
2001459834633;8
2001459834657;4
2001459834664;0
2001459834671;0
2001459834992;0
2001459835449;4
2001459835456;15
2001459835463;3
2001459835470;6
2001459835487;11
2001459835494;6
2001459835500;2
2001459835517;3
2001459835524;2
2001459835531;0
2001459835548;5
2001459835555;4
2001459835579;0
2001459835586;1
2001459835593;3
2001459835609;3
2001459835616;2
2001459835623;1
2001459835661;12
2001459835791;3
2001459835814;3
2001459835838;2
2001459835869;11
2001459835883;2
2001459835906;3
2001459835913;6
2001459841457;10
2001459841464;7
2001459841495;181
2001459841501;13
2001459841518;2
2001459841525;0
2001459841532;0
2001459845004;18
2001459845059;34
2001459845073;30
2001459845080;35
2001459845097;12
2001459845103;19
2001459845110;15
2001459845127;38
2001459845134;6
2001459845158;4
2001459845172;14
2001459845981;2
2001459845998;2
2001459846018;4
2001459846025;1
2001459846032;2
2001459846049;7
2001459846056;8
2001459848050;3
2001459849323;8
2001459849330;5
2001459849347;14
2001459849354;22
2001459849361;11
2001459849378;24
2001459853276;0
2001459853283;0
2001459853290;0
2001459853306;0
2001459853313;0
2001459853849;11
2001459853856;14
2001459853863;11
2001459853870;9
2001459854044;3
2001459854051;6
2001459854068;8
2001459854235;5
2001459854242;3
2001459854259;1
2001459854266;2
2001459854273;0
2001459854280;1
2001459854297;11
2001459854303;2
2001459854310;1
2001459854327;2
2001459854334;11
2001459854341;2
2001459854358;5
2001459854372;0
2001459854389;0
2001459854396;0
2001459854402;3
2001459854419;10
2001459854426;7
2001459854433;11
2001459854440;1
2001459854457;7
2001459854464;2
2001459854471;1
2001459854488;0
2001459854518;2
2001459854525;1
2001459854532;4
2001459855164;1
2001459855171;2
2001459855188;48
2001459855195;3
2001459855218;1
2001459855249;5
2001459855256;2
2001459855317;1
2001459855331;1
2001459855379;1
2001459855393;0
2001459855409;23
2001459855416;3
2001459855423;6
2001459855447;3
2001459855485;1
2001459855492;8
2001459855515;3
2001459855522;4
2001459855560;2
2001459855577;5
2001459855584;47
2001459855591;34
2001459855607;1
2001459855614;2
2001459855638;5
2001459855669;26
2001459855676;3
2001459855690;7
2001459855706;1
2001459855720;15
2001459855737;69
2001459855751;4
2001459859964;0
2001459860083;0
2001459860090;14
2001459860106;0
2001459860113;0
2001459860120;6
2001459860137;0
2001459860144;0
2001459860236;0
2001459860250;0
2001459860267;7
2001459860281;0
2001459860298;4
2001459860304;0
2001459860311;1
2001459860328;1
2001459860625;11
2001459860861;0
2001459860878;0
2001459860892;21
2001459860908;8
2001459860915;0
2001459863947;0
2001459863954;0
2001459863961;0
2001459863978;0
2001459863992;0
2001459864012;0
2001459864043;0
2001459864067;0
2001459864074;0
2001459864081;0
2001459864098;1
2001459864104;0
2001459864111;0
2001459864128;0
2001459864142;0
2001459864159;0
2001459864227;0
2001459864463;6
2001459864913;6
2001459864920;6
2001459864937;16
2001459864944;12
2001459864975;12
2001459865200;0
2001459865224;6
2001459865248;18
2001459865927;359
2001459865934;0
2001459866252;0
2001459866269;0
2001459866276;7
2001459866283;0
2001459866290;0
2001459866306;0
2001459868713;14
2001459868720;8
2001459869284;10
2001459869291;4
2001459869307;11
2001459869314;14
2001459869321;11
2001459869338;13
2001459869345;0
2001459869352;0
2001459869369;6
2001459869376;3
2001459869918;15
2001459869925;2
2001459869932;12
2001459869949;0
2001459869956;1
2001459869963;9
2001459869970;1
2001459869987;3
2001459869994;7
2001459870440;0
2001459870457;0
